202.112.0.7,北京,中国教育和科研计算机网骨干网,1
49.72.255.230,江苏|苏州 ,,15
m5.amap.com,浙江|杭州 ,阿里|阿里云|高德,2
userk-drcn.cloud.hicloud.com,北京|海淀,华为,1
47.102.83.83,加拿大 , ,2
jxs1.jos.hicloud.com,北京|海淀,华为,1
setting1.hicloud.com,北京|海淀,华为,4
apm3.music.163.com,广东|深圳,网易,8
pub.idqqimg.com,江苏|镇江,腾讯 ,1
aps.amap.com,203.中国,阿里|高德  ,3
203.205.250.109,广东|深圳 ,腾讯,1
139.215.2.226,吉林,,5
169.47.230.112,瑞士,  ,5
120.33.220.52,福建|莆田, ,14
169.47.230.114,瑞士  ,,4
openapi1.dbank.com,北京|海淀 ,华为,3
m7.music.126.net,江苏|南通 ,网易,17
173.194.203.188,美国|加利福尼亚,谷歌,6
geo.hicloud.com,北京|海淀,华为,5
107.155.36.46,北美 ,,8
107.155.36.47,北美 ,,6
221.198.69.96,天津|武清, ,1
222.129.238.210,北京|朝阳,,11
149.5.4.31,美国  ,,9
221.198.69.95,天津|武清, ,3
106.11.53.12,浙江|杭州 ,阿里云|阿里,1
184.105.66.177,美国|加利福尼亚,HurricaneElectric,3
accounts.google.com,美国|加利福尼亚,谷歌,3
69.41.163.30,美国 , ,2
interface3.music.163.com,广东|深圳 ,网易,27
203.205.129.102,香港,腾讯,1
111.75.104.39,江西|上饶 ,,1
mam.netease.com,广东|深圳,网易,30
203.205.146.16,香港 ,腾讯,18
www.googleapis.cn,上海 ,谷歌(中国),1
169.47.230.125,瑞士 , ,3
14.17.42.31,广东|深圳 ,,1
m8.music.126.net,江苏|南通 ,网易,22
httpdns.n.netease.com,广东|深圳 ,网易,6
123.151.72.87,天津 ,电信IDC机房,6
49.4.20.160,北京|海淀 ,华为,1
sdksp.video.qq.com, 广东|佛山, ,1
106.11.61.121,浙江|杭州,阿里|阿里云,1
110.243.137.230,河北|唐山,,14
seeds1-darwin.xycdn.com,山东, ,9
www.baidu.com,江苏|苏州 ,百度,48
